Date,GW
01/01/2017,48.496
01/02/2017,54.4959
01/03/2017,69.624
01/04/2017,72.6467
01/05/2017,72.4765
01/06/2017,71.3096
01/07/2017,65.813
01/08/2017,57.9567
01/09/2017,68.9064
01/10/2017,70.1349
01/11/2017,69.3055
01/12/2017,70.0306
01/13/2017,72.2636
01/14/2017,66.1863
01/15/2017,59.6016
01/16/2017,67.7809
01/17/2017,69.1733
01/18/2017,70.1934
01/19/2017,70.601
01/20/2017,69.6088
01/21/2017,63.6677
01/22/2017,58.7409
01/23/2017,69.2619
01/24/2017,68.206
01/25/2017,68.6439
01/26/2017,68.0463
01/27/2017,66.3882
01/28/2017,58.9826
01/29/2017,55.5658
01/30/2017,71.957
01/31/2017,74.9959
02/01/2017,76.4377
02/02/2017,72.9915
02/03/2017,70.1242
02/04/2017,63.3415
02/05/2017,57.9028
02/06/2017,68.6446
02/07/2017,70.2366
02/08/2017,72.2552
02/09/2017,72.4283
02/10/2017,69.7411
02/11/2017,62.4062
02/12/2017,53.9323
02/13/2017,62.7152
02/14/2017,63.2914
02/15/2017,63.9718
02/16/2017,66.2981
02/17/2017,68.0495
02/18/2017,63.546
02/19/2017,56.7658
02/20/2017,70.7812
02/21/2017,74.0821
02/22/2017,74.6245
02/23/2017,76.4016
02/24/2017,76.528
02/25/2017,67.0602
02/26/2017,62.1277
02/27/2017,73.492
02/28/2017,76.6175
03/01/2017,75.1805
03/02/2017,73.3419
03/03/2017,74.1846
03/04/2017,67.2679
03/05/2017,61.2915
03/06/2017,74.8831
03/07/2017,75.72565
03/08/2017,75.97465
03/09/2017,75.5604
03/10/2017,76.2649
03/11/2017,70.376
03/12/2017,64.69345
03/13/2017,79.6712
03/14/2017,83.2417
03/15/2017,80.2813
03/16/2017,78.8812
03/17/2017,77.0698
03/18/2017,70.3425
03/19/2017,64.5019
03/20/2017,76.2104
03/21/2017,77.464
03/22/2017,81.8174
03/23/2017,84.9552
03/24/2017,86.1642
03/25/2017,77.5058
03/26/2017,69.5579
03/27/2017,81.0356
03/28/2017,80.6534
03/29/2017,80.3698
03/30/2017,80.2928
03/31/2017,81.8205
04/01/2017,75.5027
04/02/2017,67.0204
